# data from table1 yasui+15  #
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop Vp  rhos   R_p
#          g     m/s    cm    cm    ms   ms    m/s2  ms    kg/m3 m/s kg/m3 mm
20131107.1 0.919 116.07 7.008 12.26 0.66 0.89  80.56 0.66  1200 108 1510   5
20131108.1 0.919 117.65 7.045 9.34  0.53 0.64  92.3  0.84  1200 108 1510   5
20131108.1 0.919 117.65 7.045 12.26 0.75 1.00  83.3  0.69  1200 108 1510   5
20131108.2 0.919 117.65 7.045  7.43 0.33 0.52 217.8  0.52  1200 108 1510   5
20131108.2 0.919 117.65 7.045  9.34 0.52 0.70  75.38 0.88  1200 108 1510   5
20131108.2 0.919 117.65 7.045 12.26 0.73 0.96  68.66 0.75  1200 108 1510   5
20131109.6 0.835 122.64 6.935 10.31 0.60 0.79  65.3  0.91  1200 108 1510   5
20131109.7 0.835 119.82 6.872 10.31 0.59 0.77  58.6  0.76  1200 108 1510   5
20140606.1 0.906 125.63 7.167  5.59 0.22 0.39 412.2  0.53  1200 108 1510   5
20140606.1 0.906 125.63 7.167  7.43 0.31 0.56 197.8  1.01  1200 108 1510   5
20140606.1 0.906 125.63 7.167 10.31 0.50 0.73 105.7  0.92  1200 108 1510   5
20140606.2 0.897 111.61 6.577  3.91 0.16 0.31 506.4  0.38  1200 108 1510   5
20140606.2 0.897 111.61 6.577  6.50 0.27 0.45 187.   0.79  1200 108 1510   5
20140606.2 0.897 111.61 6.577  9.49 0.50 0.75  87.41 0.94  1200 108 1510   5
20140606.3 0.903 106.38 6.292  3.16 0.14 0.30 656.   0.62  1200 108 1510   5
20140606.3 0.903 106.38 6.292  8.38 0.40 0.65 119.4  0.99  1200 108 1510   5
20140606.3 0.903 106.38 6.292 12.40 0.79 1.11  48.47 0.85  1200 108 1510   5
20131110.3 0.046  89.66 2.818  5.59  -1   -1   22.6  0.55  3600 108 1510   5
20131110.3 0.046  89.66 2.818  7.43  -1   -1    8.42 0.56  3600 108 1510  1.5
20131110.3 0.046  89.66 2.818 10.31  -1   -1    7.56 0.41  3600 108 1510  1.5
20131110.4 0.049 104.00 3.049  7.43  -1   -1   11.88 0.60  3600 108 1510  1.5
20131110.4 0.049 104.00 3.049 10.31  -1   -1    8.12 0.42  3600 108 1510  1.5
20140603.1 0.050 148.81 3.421  6.41  -1   -1   31.44 0.80  3600 108 1510  1.5
20140603.1 0.050 148.81 3.421  6.59  -1   -1   47.14 0.50  3600 108 1510  1.5
20140603.1 0.050 148.81 3.421 10.72  -1   -1   16.13 0.83  3600 108 1510  1.5
20140604.1 0.048 109.65 3.130  5.86  -1   -1   47.48 0.58  3600 108 1510  1.5
20140604.1 0.048 109.65 3.130  7.15  -1   -1   31.58 1.00  3600 108 1510  1.5
20140604.1 0.048 109.65 3.130 10.41  -1   -1   17.23 0.88  3600 108 1510  1.5
20140604.2 0.051 121.36 3.035  5.98  -1   -1   17.   0.37  3600 108 1510  1.5
20140604.2 0.051 121.36 3.035  6.18  -1   -1   16.26 1.16  3600 108 1510  1.5
20140604.2 0.051 121.36 3.035 10.43  -1   -1    8.42 0.89  3600 108 1510  1.5
20140605.1 0.052 102.04 3.124  5.95 0.43 0.66  39.16 0.52  3600 108 1510  1.5
20140605.1 0.052 102.04 3.124  7.06 0.53 0.85  20.9  0.77  3600 108 1510  1.5
